id,task,framework,constraint,fold,type,result,metric,mode,version,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,r2,rmse,models_ensemble_count,acc,auc,balacc,logloss
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,7,binary,0.913152,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T12:59:34,4344.4,4153.8,0.5,111,1353545791,,,,,11,0.842995,0.913152,0.772126,0.31186
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,8,binary,0.927138,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T12:56:52,4195.5,4022.4,0.5,111,1353545792,,,,,10,0.871981,0.927138,0.804405,0.285998
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,9,binary,0.919683,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T13:50:09,7374.2,6713.6,8.5,220,1353545793,,,,,119,0.845411,0.919683,0.778658,0.30242
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,0,binary,0.933172,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:22,15066.3,14408.2,70.1,145,1353545784,,,,,107,0.87697,0.933172,0.796885,0.26796
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,1,binary,0.930738,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:39,15063.4,14415.0,69.9,135,1353545785,,,,,98,0.877789,0.930738,0.804459,0.269339
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,2,binary,0.933442,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:24,15048.7,14414.7,69.8,129,1353545786,,,,,92,0.875717,0.933442,0.804143,0.267584
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,3,binary,0.929254,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:17,15027.4,14417.5,65.5,133,1353545787,,,,,94,0.870803,0.929254,0.798859,0.274794
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,4,binary,0.929653,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:19,15068.1,14414.0,71.7,135,1353545788,,,,,98,0.874693,0.929653,0.798481,0.273712
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,5,binary,0.927248,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:31,15047.2,14421.1,72.5,135,1353545789,,,,,97,0.872236,0.927248,0.798472,0.276885
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,6,binary,0.933197,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:03,15053.7,14409.2,70.0,133,1353545790,,,,,98,0.870598,0.933197,0.794171,0.268275
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,7,binary,0.933812,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:22,15059.7,14410.9,70.9,131,1353545791,,,,,96,0.876126,0.933812,0.796046,0.268424
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,8,binary,0.939794,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:19,15057.9,14419.2,69.5,136,1353545792,,,,,100,0.882064,0.939794,0.811675,0.256973
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,9,binary,0.936391,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:22,15039.1,14417.9,67.9,132,1353545793,,,,,97,0.879812,0.936391,0.808142,0.261065
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,0,binary,0.733625,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:53:56,14683.8,14519.3,43.9,14,1353545784,,,,,10,0.677543,0.733625,0.663016,0.597205
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,1,binary,0.73558,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:53:56,14684.2,14516.4,45.7,14,1353545785,,,,,10,0.679138,0.73558,0.664899,0.595677
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,2,binary,0.732973,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:54:13,14682.8,14515.1,45.4,14,1353545786,,,,,10,0.677803,0.732973,0.663381,0.59751
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,3,binary,0.735431,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:54:22,14687.5,14521.5,43.9,14,1353545787,,,,,10,0.680522,0.735431,0.666553,0.595702
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,4,binary,0.731007,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:54:38,14686.4,14517.2,46.5,14,1353545788,,,,,10,0.67559,0.731007,0.661681,0.598265
